10000 47594134	44741681	61408822	61400353	88783853
61928827	38364820	93809923	48976322	77408210
36709859	34784889	28530109	51745315	28213695
29237357	4102725	58054376	48620019	69012726
2879193	51685960	80515978	93786091	64409499
43900049	55221282	83612587	52275602	66485904
17620004	61901032	7346086	8064914	19188779
66626377	40845949	44203128	28991962	68909332
82296997	49428449	36543258	86153753	66331755
74004000	29297651	63748862	79691363	77050587
98825377	28405711	60220039	35146439	23559248
10900165	84736941	11222489	95337813	48456280
97762752	81256855	33051275	49592037	48515281
72572624	32898627	23290051	30580930	85730187
38497006	11783661	30931270	73881228	10643686
18724975	17490176	21538493	49078790	52487183
42870607	19657695	47359805	93080594	7819196
5157415	28386629	96028431	51050007	80946412
91791854	85018046	75654711	42330077	61253092
30858423	39236737	4400697	55144830	58194006
36532433	94862667	75556494	17157848	12797688
87589390	15247622	27220340	22337702	8202567
45429866	91935417	74276107	42362214	15276994
28441404	77748763	64997275	78664456	21507011
30045851	38295408	83336870	44399204	80436830
38867044	87646965	88072318	34118626	95808230
78539263	69758401	81522370	56687814	34987582
43454680	26815644	74001975	14793207	47306915
79007300	26900333	21529483	99808062	57753497
9577457	68263882	73666596	41957905	57312298
86022249	26076937	39612637	95279268	27246102
68141109	25469577	16218650	58736946	14114708
24160815	4104211	51661712	52626556	64163157
88854165	24712246	46666772	20911227	21142101
19058404	20522108	7125616	83206573	60882990
93380020	8163633	99701711	87526306	32533337
69394274	77436810	82749339	60154734	66941433
40196480	85016938	85996044	44689569	49805488
71128452	91714190	56485666	4236504	25816540
79844055	1763394	58242029	70966268	91493410
53106623	75743778	79211956	20474988	51842391
71634891	96114063	38714159	58225910	23813391
86446551	11725336	45507039	41961021	7393207
13759480	57870956	48855018	30971216	24955961
46437479	65895976	35956464	91707110	76942175
89515972	78496372	80938631	61027679	13639257
61770945	37495516	17187488	34899905	94910617
16194386	87121570	24041006	17459228	53622095
98092637	66229218	31152374	22221462	63850998
60433821	42718421	77394503	32500603	17481471
61768802	44789033	27502644	67877981	18255790
62900140	61673166	25202174	59366771	67252914
14229646	52099919	2146862	59141570	54417801
77058505	49034837	43251365	57778411	60046482
85459017	11838800	5263617	83447252	97582428
92666159	78057740	22490978	97934171	85043077
3914356	28012813	98140575	1690562	64802787
56924304	19548906	33786803	64463910	43605102
65460130	5654591	36861285	98629135	89004793
60906172	53980073	30430513	16112486	99120535
61392657	28419843	76851418	60158689	45314134
54552184	62830669	41738358	10447024	24274379
64200560	62083364	7738584	51391602	61979186
55902342	31489998	78433961	83314513	16938946
